Role,Organization,Location,Start Date,Duration in Months,Average Monthly Stipend,Added Incentives,Currency
Talent Acquisition,Marpu Foundation,Remote,Immediately,0.25,0.00,No,INR
Social Work,Marpu Foundation,Remote,Immediately,0.25,0.00,No,INR
Event Coordination,Aam Aadmi Party,Delhi,Immediately,0.25,0.00,No,INR
Human Resources (HR),Subhansh Sewa Trust,Remote,Immediately,0.25,0.00,No,INR
Induction Representation,Subhansh Sewa Trust,Remote,Immediately,0.25,0.00,No,INR
Video Editor,Subhansh Sewa Trust,Remote,Immediately,0.25,0.00,No,INR
English (Teaching),Sarvam Foundation,Remote,Immediately,0.5,0.00,No,INR
Social Media Marketing,Sarg Foundation,Remote,Immediately,0.5,0.00,No,INR
Human Resources (HR),Rail Bikash Manch,Remote,Immediately,1,0.00,No,INR
Data Entry,Ritaayat Foundation,Remote,Immediately,1,0.00,No,INR
WordPress Development,Social Education & Liberty Foundation,Remote,Immediately,1,0.00,No,INR
Archaeology Event Management,Indo Archaeology Research,Remote,Immediately,1,0.00,No,INR
Volunteering,Human Care Educational Development & Welfare Society,Indore,Immediately,1,0.00,No,INR
Law/Legal,Unique Law,Remote,Immediately,1,0.00,No,INR
Counseling,Sa-Mudra Foundation,Bangalore,Immediately,1,0.00,No,INR
Legal Research,Social Laws Today,Remote,Immediately,2,0.00,No,INR
Content Writing,Chudar,Remote,Immediately,2,0.00,No,INR
Video Editor & Human Resources,Chamela Helpdia Charitable Trust,Remote,Immediately,2,0.00,No,INR
Library Science,Scientific Impulse,Remote,Immediately,2,0.00,No,INR
Mental Health Project Management,Saday,Remote,Immediately,2,0.00,No,INR
Digital Marketing,Community Action For Rural Development Society,Remote,Immediately,2,0.00,No,INR
Content Development (English),We The People,Gurgaon,Immediately,2,0.00,No,INR
Teaching Volunteer,Swachhpan,Remote,Immediately,2,0.00,No,INR
Human Resources (HR),Youth Empowerment Foundation,Remote,Immediately,2,0.00,No,INR
Graphic Design,Samarpan,Remote,Immediately,2,0.00,No,INR
UI/UX Design,Think Of It Foundation,Remote,Immediately,2,0.00,No,INR
Business Development (Sales),Think Of It Foundation,Remote,Immediately,2,0.00,No,INR
Human Resources (HR),International Institute Of SDGs & Public Policy Research,Remote,Immediately,2,0.00,No,INR
Architecture,Life Changing Charitable Trust,Remote,Immediately,2,0.00,No,INR
Social Media Marketing,SADRAG NGO,Remote,Immediately,2,0.00,No,INR
Social Research Data Collection,Calcutta Rescue,Kolkata,Not specified,2,0.00,No,INR
Market Research,Pawzz,Remote,Immediately,2,0.00,No,INR
Social Media Marketing,Tillotoma Foundation,Remote,Immediately,2,0.00,No,INR
Search Engine Optimization (SEO),Salute Hockey Academy,Remote,Immediately,2,0.00,No,INR
Volunteering,Waves Women Empowerment,Delhi,Immediately,2,0.00,No,INR
Research & Development,Salahuddin Ayyubi Foundation,Ajmer,Immediately,2,0.00,No,INR
Logistics And Operations,First Contact,Remote,Immediately,2,0.00,No,INR
Law/Legal,Dr Ashok Law Associates,Delhi,Immediately,2,0.00,No,INR
Digital Marketing,1Millions Entrepreneurs International Forum,Ahmedabad,Immediately,2,0.00,No,INR
Social Media- Research And Marketing,Office Of Health Minister,Delhi,Immediately,2,0.00,No,INR
Law/Legal,Taxortium Consultants LLP,Delhi,Immediately,2,0.00,No,INR
Fundraising,Marpu Foundation,Remote,Immediately,3,0.00,No,INR
Recruitment,Marpu Foundation,Remote,Immediately,3,0.00,No,INR
Human Resources (HR),Marpu Foundation,Remote,Immediately,3,0.00,No,INR
Video Making/Editing,Aam Aadmi Party,Remote,Immediately,3,0.00,No,INR
Social Work,INDIA Redefined,Remote,Immediately,3,0.00,No,INR
Trainer (Teaching VLSI Front-end Designing Or VLSI Back-end Designing Course),SURE Trust,Remote,Immediately,3,0.00,No,INR
Fundraising/Crowdfunding,NayePankh Foundation,Remote,Immediately,3,0.00,No,INR
Empowering Social Entrepreneurs,NayePankh Foundation,Remote,Immediately,3,0.00,No,INR
Social Work,InAmigos Foundation,Remote,Immediately,3,0.00,No,INR
Social Entrepreneurship,NayePankh Foundation,Remote,Immediately,3,0.00,No,INR
Social Media Marketing,Scope For Change,Remote,Immediately,3,0.00,No,INR
Community Management,InAmigos Foundation,Remote,Immediately,3,0.00,No,INR
Virtual Volunteering,InAmigos Foundation,Remote,Immediately,3,0.00,No,INR
Social Media Marketing,Shree Vidhyaguru Foundation,Remote,Immediately,3,0.00,No,INR
Civil Engineering Research,Earth5R,Remote,Immediately,3,0.00,No,INR
"Botany, Zoology, And Microbiology Research",Earth5R,Remote,Immediately,3,0.00,No,INR
"Agriculture, Horticulture And Rural Development Research",Earth5R,Remote,Immediately,3,0.00,No,INR
Website Design,Volunteers Of Vrindavan,Remote,Immediately,3,0.00,No,INR
Law/Legal,Ravish Kumar Goyal,Delhi,Immediately,3,0.00,No,INR
Content Writing,Earth5R,Remote,Immediately,3,0.00,No,INR
Environmental Sciences,Earth5R,Remote,Immediately,3,0.00,No,INR
Law/Legal,Law Insider,Remote,Immediately,3,0.00,No,INR
